getDomain,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,getDepth,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,GoogleIndex,LinksPointingToPage,StatsReport,labels
9779.info,1,-1,1,1,1,1,1,-1,1,-1,1,1,0,-1,-1,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1
nutrika.co.id,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
dorisday.net,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
web.userinstinct.com,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,1,1,0
thats-a-wrap.net,1,1,1,1,1,-1,0,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
pagesperso-orange.fr,1,1,1,1,1,-1,1,-1,1,-1,1,1,0,-1,1,1,-2,-1,0,-1,1,-1,-1,1,1,1,1,0,1,1
asd.besthairtransplantpunjab.com,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
limit.user-87876kop9776zj7tt5hsjql5z17-ggq97zk821876t9u0opm.resolution-klpozjshbv716zgyqbbsn.sharetolink.net,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
embroidery.embroidery.embroidery.ebp-items-offer-now.com,1,0,1,1,1,-1,-1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
scribd.com,1,-1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,1,1,-2,-1,0,-1,3,-1,-1,1,1,1,1,-1,1,0
center302.team,1,1,1,1,1,1,-1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,1
askmefast.com,1,0,-1,1,1,1,0,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,-2,1,0
uapress.arizona.edu,1,1,1,1,1,1,-1,-1,-2,1,1,1,-2,-1,1,0,-2,-1,0,-1,2,-1,-1,1,-2,-2,1,-1,1,1
vadodaramarathon.com,1,-1,1,1,1,1,0,-1,1,1,1,1,-2,0,0,1,-2,-1,1,-1,6,-1,-1,1,1,1,1,-1,1,1
mmatko.com,1,0,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,-2,1,0
demo.transemirates.com,1,0,1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,5,-1,-1,1,1,1,1,1,1,1
123people.com,1,1,1,1,1,1,1,-1,1,1,1,1,-2,0,-1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,0
city-data.com,1,1,1,1,1,-1,0,-1,1,1,1,1,-2,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,0
lawyers.uslegal.com,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
ronnerdog.000webhostapp.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,-1,1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,1,1,1
onlinelibrary.wiley.com,1,-1,1,1,1,1,-1,-1,1,-1,1,1,0,-1,1,1,-2,-1,1,-1,4,-1,-1,1,1,1,1,1,1,0
cielopromocaoimperdivel.netai.net,1,1,1,1,1,1,-1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,-2,1,0
danielamos.com,1,1,1,1,1,1,-1,-1,1,-1,1,1,-2,-1,0,1,-2,-1,1,-1,1,1,1,1,1,1,1,-1,1,1
198.12.97.66,-1,1,1,1,1,1,-1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,1,1
udn.com,1,-1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,0,1,-2,-1,1,-1,4,-1,-1,1,1,1,1,1,1,0
pastebin.com,1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,1
mitsui-jyuku.mixh.jp,1,1,1,1,1,-1,-1,1,-2,-1,1,1,-2,-1,1,1,-2,-1,0,-1,2,-1,-1,1,-2,-2,1,-1,1,1
hotlinegsm.com,1,0,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,3,-1,-1,1,1,1,1,1,1,1
coolspotters.com,1,1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,0
ddslightbulb.net,1,1,1,1,1,1,-1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,1,-2,1,0
user-security-pp-de.ga,1,1,1,1,1,-1,1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
wu8188.com,1,0,1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,6,-1,-1,1,1,1,1,1,1,1
affiliatealmanac.com,1,0,1,1,1,1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
aafwaterloo.wordpress.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,0,1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
stbgroup.co.uk,1,1,1,1,1,1,-1,-1,-2,1,1,1,-2,-1,-1,0,-2,-1,1,-1,1,-1,-1,1,-2,-2,1,1,1,0
49.119.213.0:50744,1,1,1,1,1,1,-1,-1,-2,-2,-1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,1
en.wikipedia.org,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,0
consulting-gvg.com,1,1,1,1,1,-1,1,-1,1,1,1,1,0,1,-1,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,1
techdirt.com,1,0,-1,1,1,1,-1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,3,-1,-1,1,1,1,1,1,1,1
nextlevelprize.com,1,1,1,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,1,1
faceofaids.org,1,1,1,1,1,1,1,-1,1,-1,1,1,-2,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,0,1,0
lewedwardsgroup.com,1,1,1,1,1,1,0,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,1,1,0
puzzlesway.ch,1,1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,1
