url,label
www.google.com,0
www.blogger.com,0
youtube.com,0
linkedin.com,0
support.google.com,0
cloudflare.com,0
microsoft.com,0
apple.com,0
en.wikipedia.org,0
play.google.com,0
wordpress.org,0
docs.google.com,0
mozilla.org,0
maps.google.com,0
youtu.be,0
drive.google.com,0
bp.blogspot.com,0
sites.google.com,0
googleusercontent.com,0
accounts.google.com,0
t.me,0
europa.eu,0
plus.google.com,0
whatsapp.com,0
adobe.com,0
facebook.com,0
policies.google.com,0
uol.com.br,0
istockphoto.com,0
vimeo.com,0
vk.com,0
github.com,0
amazon.com,0
search.google.com,0
bbc.co.uk,0
google.de,0
live.com,0
gravatar.com,0
nih.gov,0
dan.com,0
files.wordpress.com,0
www.yahoo.com,0
cnn.com,0
dropbox.com,0
wikimedia.org,0
creativecommons.org,0
google.com.br,0
line.me,0
googleblog.com,0
opera.com,0
es.wikipedia.org,0
globo.com,0
brandbucket.com,0
myspace.com,0
slideshare.net,0
paypal.com,0
tiktok.com,0
netvibes.com,0
theguardian.com,0
who.int,0
goo.gl,0
medium.com,0
tools.google.com,0
draft.blogger.com,0
pt.wikipedia.org,0
fr.wikipedia.org,0
www.weebly.com,0
news.google.com,0
developers.google.com,0
w3.org,0
mail.google.com,0
gstatic.com,0
jimdofree.com,0
cpanel.net,0
imdb.com,0
wa.me,0
feedburner.com,0
enable-javascript.com,0
nytimes.com,0
workspace.google.com,0
ok.ru,0
google.es,0
dailymotion.com,0
afternic.com,0
bloomberg.com,0
amazon.de,0
photos.google.com,0
wiley.com,0
aliexpress.com,0
indiatimes.com,0
youronlinechoices.com,0
elpais.com,0
tinyurl.com,0
yadi.sk,0
spotify.com,0
huffpost.com,0
ru.wikipedia.org,0
google.fr,0
webmd.com,0
samsung.com,0
independent.co.uk,0
amazon.co.jp,0
get.google.com,0
amazon.co.uk,0
4shared.com,0
telegram.me,0
planalto.gov.br,0
businessinsider.com,0
ig.com.br,0
issuu.com,0
www.gov.br,0
wsj.com,0
hugedomains.com,0
picasaweb.google.com,0
usatoday.com,0
scribd.com,0
www.gov.uk,0
storage.googleapis.com,0
huffingtonpost.com,0
bbc.com,0
estadao.com.br,0
nature.com,0
mediafire.com,0
washingtonpost.com,0
forms.gle,0
namecheap.com,0
forbes.com,0
mirror.co.uk,0
soundcloud.com,0
fb.com,0
marketingplatform.google....,0
domainmarket.com,0
ytimg.com,0
terra.com.br,0
google.co.uk,0
shutterstock.com,0
dailymail.co.uk,0
reg.ru,0
t.co,0
cdc.gov,0
thesun.co.uk,0
wp.com,0
cnet.com,0
instagram.com,0
researchgate.net,0
google.it,0
fandom.com,0
office.com,0
list-manage.com,0
msn.com,0
un.org,0
de.wikipedia.org,0
ovh.com,0
mail.ru,0
bing.com,0
news.yahoo.com,0
myaccount.google.com,0
hatena.ne.jp,0
shopify.com,0
adssettings.google.com,0
bit.ly,0
reuters.com,0
booking.com,0
discord.com,0
buydomains.com,0
nasa.gov,0
aboutads.info,0
time.com,0
abril.com.br,0
change.org,0
nginx.org,0
twitter.com,0
www.wikipedia.org,0
archive.org,0
cbsnews.com,0
networkadvertising.org,0
telegraph.co.uk,0
pinterest.com,0
google.co.jp,0
pixabay.com,0
zendesk.com,0
cpanel.com,0
vistaprint.com,0
sky.com,0
windows.net,0
alicdn.com,0
google.ca,0
lemonde.fr,0
newyorker.com,0
webnode.page,0
surveymonkey.com,0
translate.google.com,0
calendar.google.com,0
amazonaws.com,0
academia.edu,0
apache.org,0
imageshack.us,0
akamaihd.net,0
nginx.com,0
